[1,i]	om namaḥ vīttarāgāya 
[68,i_68,ii]	sampūrṇa tu yadā tadā na asti prakarṣa gatiḥ tatas sampūrṇa avasthāyāḥ prāc tani avasthā sphuṭa ābha tva prakarṣa paryantaḥ ucyate tasmāt paryantāt yat jātam bhāvyamānasya arthasya sannihitasya iva sphuṭatara ākāra grāhi jñānam yoginaḥ pratyakṣam tat iha sphuṭa ābha tva ārambha avasthāḥ bhāvanā prakarṣaḥ abhraka vyavahitam iva yadā bhāvyamānam vastu paśyati sā prakarṣa paryanta avasthā kara tala āmalaka vat bhāvyamānasya arthasya yat darśanam tat yoginaḥ pratyakṣam tat hi sphuṭa ābham 
[69,i_70,ii]	sphuṭa ābha tvāt eva ca nirvikalpakam vikalpa vijñānam hi saṅketa kāla dṛṣṭa tvena vastu gṛhṇat śabda saṃsarga yogyam gṛhṇīyāt saṅketa kāla dṛṣṭa tvam ca saṅketa kāla utpanna jñāna viṣaya tvam yathā ca pūrva utpannam vinaṣṭam jñānam samprati asat tadvat pūrva vinaṣṭa jñāna viṣaya tvam api samprati na asti vastunaḥ tat asat rūpam vastunaḥ gṛhṇat asannihi tārtha grāhi tvāt asphuṭa ābham vikalpakam tatas sphuṭa ābha tvāt nirvikalpakam pramāṇa śuddha artha grāhi tvāt ca saṃvādakam atas pratyakṣam itara pratyakṣa vat yogaḥ samādhiḥ sa yasya asti sa yogī tasya jñānam pratyakṣam iti śabdaḥ parisamāpti vacanaḥ iyat eva pratyakṣam iti 
[70,iii_70,iv]	tat evam pratyakṣasya kalpanā apoḍha tva abhra anta tva yuktasya prakāra bhedam pratipādya viṣaya vipratipattim nirākarttum āha tasya ityādi tasya caturvidhasya pratyakṣasya viṣayaḥ boddhavyaḥ sva lakṣaṇam svam asa ādhāraṇam lakṣaṇam tattvam sva lakṣaṇam vastunaḥ hi āsa dhāraṇam ca tattvam asti sāmānyam ca tatra yat asādhāraṇam tat pratyakṣasya grāhyam 
[71,i]	dvividhaḥ hi viṣayaḥ pramāṇasya grāhyaḥ ca yat ākāram utyadyate prāpaṇīyaḥ ca yam adhyavasyati anyaḥ hi grāhyaḥ anyaḥ ca adhyavaseyaḥ pratyakṣasya hi kṣaṇaḥ ekaḥ grāhyaḥ adhyavaseyaḥ tu pratyakṣa bala utpannena niścayena saṃtānaḥ eva santānaḥ eva ca pratyakṣasya prāpaṇīyaḥ kṣaṇasya prāpayitum aśakyatvāt 
[71,ii_72,i]	tathā anumānam api sva pratibhāse anarthe artha avyavasāyena pravṛtteḥ anartha grāhi sa punar āropitaḥ arthaḥ gṛhyamāṇaḥ sva lakṣaṇa tvena avasīyate yatas tatas sva lakṣaṇam avasitam pravṛtti viṣayaḥ anumānasya anarthaḥ tu grāhyaḥ tat atra pramāṇasya grāhyam viṣayam darśayatā pratyakṣasya sva lakṣaṇam viṣayaḥ uktaḥ 
[74,i_74,ii]	kaḥ punar asau viṣayaḥ jñānasya yaḥ sva lakṣaṇam pratipattavyaḥ iti āha yasya arthasya ityādi artha śabdaḥ viṣaya paryāyaḥ yasya jñāna viṣayasya saṃnidhānam nikaṭa deśa avasthānam asaṃnidhānam dūra deśa avasthānam tasmāt saṃnidhānāt asaṃnidhānāt ca jñāna pratibhāsasya grāhya ākārasya bhedaḥ sphuṭa tva asphuṭa tvābhyām yaḥ hi jñāna viṣayaḥ saṃnihitaḥ san sphuṭa ābhāsam jñānasya karoti asaṃnihitaḥ tu yogya deśa sthaḥ eva asphuṭam karoti tat sva lakṣaṇam sarvāṇi eva hi vastūni dūrāt asphuṭāni dṛśyante samīpe sphuṭāni tāni eva sva lakṣaṇāni 
[75,i_75,ii]	kasmāt punar pratyakṣa viṣayaḥ eva sva lakṣaṇam tathā hi vikalpa viṣayaḥ api vahniḥ dṛśya ātmakaḥ eva avasīyate iti āha tat eva paramārtha sat iti paramaḥ arthaḥ akṛtrimam anāropitam rūpam tena asti iti paramārtha sat yaḥ eva arthaḥ sannidhāna āsannidhānābhyām sphuṭam asphuṭam ca pratibhāsam karoti paramārtha san saḥ eva sa ca pratyakṣasya viṣayaḥ yatas tasmāt tat eva sva lakṣaṇam 
[76,i_76,ii]	kasmāt punar tat eva parama artha sat iti āha arthyate iti arthaḥ heyaḥ upādeyaḥ ca heyaḥ hi hātum iṣyate upādeyaḥ ca upādātum arthasya prayojanasya kriyā niṣpattiḥ tasyām sāmarthyam śaktiḥ tat eva lakṣaṇam rūpam yasya vastunaḥ tat artha kriyā sāmarthya lakṣaṇam tasya bhāvaḥ tasmāt vastu śabdaḥ parama artha paryāyaḥ tat ayam arthaḥ yasmāt artha kriyā samartham paramārtha sat ucyate sannidhāna asannidhānābhyām ca jñāna pratibhāsasya bhedakaḥ arthaḥ artha kriyā samarthaḥ tasmāt saḥ eva paramārtha san tatas eva hi pratyakṣa viṣayāt artha kriyā prāpyate na vikalpa viṣayāt atas eva yadi api vikalpa viṣayaḥ dṛśyaḥ iva avasīyate tathā api na sa dṛśyaḥ eva tatas artha kriyāyāḥ abhāvāt dṛśyāt ca bhāvāt atas tat eva sva lakṣaṇam na vikalpa viṣayaḥ 
[77,i_77,iii]	anyat ityādi etasmāt sva lakṣaṇāt yat anyat sva lakṣaṇam yaḥ na bhavati jñāna viṣayaḥ tat sāmānya lakṣaṇam vikalpa jñānena avasīyamānaḥ hi arthaḥ sannidhāna āsannidhānābhyām jñāna pratibhāsam na bhinatti tathā hi āropyamāṇaḥ vahniḥ āropāt asti āropāt ca dūra sthaḥ nikaṭa sthaḥ ca tasya samāropitasya sannidhāna āsat nidhānāt ca jñāna pratibhāsasya na bhedaḥ sphuṭa tvena asphuṭa tvena vā tatas sva lakṣaṇāt anyaḥ ucyate sāmānyena lakṣaṇam sāmānya lakṣaṇam sādhāraṇam rūpam iti arthaḥ samāropyamāṇam hi rūpam sakala vahni sādhāraṇam tatas tat sāmānya lakṣaṇam 
[78,i_78,iii]	tat ca anumānasya grāhyam darśayitum āha saḥ anumānasya viṣayaḥ grāhya rūpaḥ sarva nāmnaḥ abhidheya vat liṅga parigrahaḥ sāmānya lakṣaṇam anumānasya viṣayam vyākhyātu kāmena ayam sva lakṣaṇa svarūpa ākhyāna granthaḥ āvarttanīyaḥ syāt tatas lāghava artham pratyakṣa paricchedaḥ eva anumāna viṣayaḥ uktaḥ 
[79,i_79,ii]	viṣaya vipratipattim nirākṛtya phala vipratiparttim nirākarttum āha tat eva iti yat eva anantaram uktam pratyakṣam jñānam tat eva pramāṇasya phalam 
[79,iii_79,vii]	katham pramāṇa phalam iti āha arthasya pratītiḥ avagamaḥ sā eva rūpam yasya pratyakṣa jñānasya tad artha pratīti rūpam tasya bhāvaḥ tasmāt etat uktam bhavati prāpakam jñānam pramāṇam prāpaṇa śaktiḥ ca na kevalāt artha avinā bhāvi tvāt bhavati bīja ādi a vinābhāvinaḥ api aṅkura ādeḥ aprāpaka tvāt tasmāt prāpyāt arthāt utpattau api asya jñānasyā asti kaścid avaśya karttavyaḥ prāpa kavya apāroyena kṛtena arthaḥ prāpitaḥ bhavati saḥ eva ca pramāṇa phalam yat anuṣṭhānāt prāpakam bhavati jñānam uktam ca purastāt pravṛtti viṣaya pradarśanam eva prāpakasya prāpaka vyāpāraḥ nāma tat eva ca pratyakṣam artha pratīti rūpam artha pradarśana rūpam atas tat eva pramāṇa phalam 
[81,i_81,ii]	yadi tarhi jñānam pramiti rūpa tvāt pramāṇa phalam kim tarhi pramāṇam iti āha arthena saha yat sārūpyam sādṛśyam asya jñānasya tat pramāṇam iha yasmāt viṣayāt vijñānam udeti tad viṣaya sadṛśam tat bhavati yathā nīlāt utpadyamānam nīla sadṛśam tat ca sārūpyam sādṛśyam ākāraḥ iti ābhāsaḥ iti api vyapadiśyate 
[81,iii_82,i]	nanu ca jñānāt avyatiriktam sādṛśyam tathā ca sati tat eva jñānam pramāṇam tat eva ca pramāṇa phalam na ca ekam vastu sādhyam sādhanam ca upapadyate tat katham sārūpyam pramāṇam iti āha tad vaśāt iti tat iti sārūpyam tasya vaśāt sārūpya sāmarthyāt arthasya pratītiḥ avabodhaḥ tasyāḥ siddhiḥ tad siddheḥ kāraṇāt arthasya pratīti rūpam pratyakṣam vijñānam sārūpya vaśāt siddhyati pratītam bhavati iti arthaḥ nīla nirbhāsam hi vijñānam yatas tasmāt nīlasya pratītiḥ avasīyate yebhyaḥ hi cakṣuḥ ādibhyaḥ vijñānam utpadyate na tad vaśāt tat jñānam nīlasya saṃvedanam śakyate avasthāpayitum nīla sadṛśam tu anubhūyamānam nīlasya saṃvedanam avasthāpyate 
[82,ii_83,i]	na ca atra janya janaka bhāva nibandhanaḥ sādhya sādhana bhāvaḥ yena ekasmin vastuni virodhaḥ syāt api tu vyavasthāpya vyavasthāpana bhāvena tatas ekasya vastunaḥ kiñcid rūpam pramāṇam kiñcid pramāṇa phalam na virudhyate vyavasthāpana hetuḥ hi sārūpyam tasya jñānasya vyavasthāpyam ca nīla saṃvedana rūpam 
[83,ii_83,iii]	vyavasthāpya vyavasthāpaka bhāvaḥ api katham ekaraya jñānasya iti ced ucyate nīla sadṛśam anubhūya tat vijñānam yatas nīlasya grāhakam avasthāpyate niścaya pratyayena tasmāt sārūpyam anubhūtam vyavasthāpana hetuḥ niścaya pratyayena ca tat jñānam nīla saṃvedanam avasthāpyamānam vyavasthāpyam tasmāt asārūpya vyāvṛttyā sārūpyam jñānasya vyavasthāpana hetuḥ anīla bodha vyāvṛttyā ca nīla bodha rūpa tvam vyavasthāpyam 
[84,i]	vyavasthāpakaḥ ca vikalpa pratyayaḥ pratyakṣa bala utpannaḥ draṣṭavyaḥ na tu nirvikalpaka tvāt pratyakṣam eva nīla bodha rūpa tvena ātmānam avasthāpayitum śaknoti niścaya pratyayena avyavasthāpitam sat api nīla bodha rūpam vijñānam asat kalpam eva tasmāt niścayena nīla bodha rūpam vyavasthāpitam vijñānam nīla bodha ātmanā sat bhavati 
[84,ii_85,i]	tasmāt adhyavasāyam kurvat eva pratyakṣam pramāṇam bhavati akṛte tu adhyavasāye nīla bodha rūpa tvena avyavasthāpitam bhavati vijñānam tathā ca pramāṇa phalam artha adhigama rūpam aniṣpannam atas sādhakatama tva abhāvāt pramāṇam eva na syāt jñānam janitena tu adhyavasāyena sārūpya vaśāt nīla bodha rūpe jñāne vyavasthāpyamāne sārūpyam vyavasthāpana hetu tvāt pramāṇam siddham bhavati 
[85,ii]	yadi eva madhyavasāya sahitam eva pratyakṣam pramāṇam syāt na kevalam iti ced na etat evam yasmāt pratyakṣa bala utpannena adhyavasāyena dṛśya tvena arthaḥ avasīyate na utprekṣita tvena darśanañca artha sākṣāt karaṇa ākhyam pratyakṣa vyāpāraḥ utprekṣaṇam tu vikalpa vyāpāraḥ tathā hi parokṣam artham vikalpayantaḥ utprekṣāmahe na tu paśyāmaḥ iti utprekṣa ātmakam vikalpa vyāpāram anubhavāt adhyavasyanti tasmāt sva vyāpāram tiraskṛtya pratyakṣa vyāpāram ādarśayati yatra arthe pratyakṣa pūrvakaḥ adhyavasāyaḥ tatra pratyakṣam kevalam eva pramāṇam iti 
[87,i_87,ii]	evam pratyakṣam vyākhyāya anumānam vyākhyātu kāmaḥ āha anumānam dvidhā dvi prakāram atha anumāna lakṣaṇe vaktavye kim akasmāt prakāra bhedaḥ kathyate ucyate para artha anumānam śabda ātmakam sva artha anumānam tu jñāna ātmakam tayoḥ atyanta bhedāt na ekam lakṣaṇam asti tatas tayoḥ pratiniyatam lakṣaṇam ākhyātum prakāra bhedaḥ kathyate prakāra bhedaḥ hi vyakti bhedaḥ vyakti bhede ca kathite prativyakti niyatam lakṣaṇam śakyate vaktum na anyathā tatas lakṣaṇa nirdeśa aṅgam eva prakāra bheda kathanam aśakyatām ca prakāra bheda kathanam antareṇa lakṣaṇa nirdeśasya jñātvā prāk prakāra bhedaḥ kathyate iti 
[88,i_88,ii]	kim punar tat dvaividhyam iti āha svasmāyidam sva artham yena svayam pratipadyate tat sva artham para smāyidam para artham yena param pratipādayati tat para artham 
[89,i_90,i]	tatra tayoḥ sva artha para artha anumānayoḥ madhye sva artham jñānam kiṃviśiṣṭam iti āha trirūpāt iti trīṇi rūpāṇi yasya vakṣyamāṇa lakṣaṇāni tat trirūpam liṅgyate gamyate anenā arthaḥ iti liṅgam tasmāt trirūpāt liṅgāt yat jātam jñānam iti etat hetu dvāreṇa viśeṣaṇam tat trirūpāt ca liṅgāt trirūpa liṅga ālambanam api utpadyate iti viśinaṣṭi anumeyaḥ iti etat ca viṣaya dvāreṇa viśe ṣaṇam trirūpāt liṅgāt yat utpannam anumeya ālambanam jñānam tat sva artham anumānam iti 
[90,ii_90,iii]	lakṣaṇa vipratipattim nirākṛtya phala vipratipattim nirākarttum āha pramāṇasya yat phalam tasya yā vyavasthā sā atra anumāne api pratyakṣaḥ iva pratyakṣa vat veditavyā 
[91,i_91,ii]	yathā hi nīla sarūpam pratyakṣam anubhūyamānam nīla bodha rūpam avasthāpyate tena nīla sārūpyam vyavasthāpana hetuḥ pramāṇam nīla bodha rūpam tu vyavasthāpyamānam pramāṇa phalam tadvat anumānam nīla ākāram utpadyamānam nīla bodha rūpam avasthāpyate tena nīla sārūpyam asya pramāṇam nīla vikalpana rūpam tu asya pramāṇa phalam sārūpya vaśāt hi tad nīla pratīti rūpam sidhyati na anyathā iti evam iha saṃkhyā lakṣaṇa phala vipratipattayaḥ pratyakṣa paricchede tu gocara vipratipattiḥ nirākṛtā lakṣaṇa nirdeśa prasaṅgena tu trirūpam liṅgam prastutam tat eva vyākhyātum āha 
[91,iii]	trairūpyam ityādi liṅgasya yat trairūpyam yāni trīṇi rūpāṇi tat idam ucyate iti śeṣaḥ kim punar tat trairūpyam iti āha anumeyam vakṣyamāṇa lakṣaṇam tasmin liṅgasya sattvam eva niścitam ekam rūpam yadi api ca atra niścita grahaṇam na kṛtam tathā api ante kṛtam prakrāntayoḥ dvayoḥ api rūpayoḥ apekṣaṇīyam yatas na yogyatayā liṅgam parokṣa jñānasya nimitam yathā bījam aṅkurasya adṛṣṭāt dhūmāt agneḥ apratipatteḥ na api sva viṣaya jñāna apekṣam parokṣa artha prakāśanam yathā pradīpaḥ ghaṭa ādeḥ dṛṣṭāt api aniścita sambandhāt apratipatteḥ tasmāt parokṣa arthana āntarīyaka tayā niścayanam eva liṅgasya parokṣa artha pratipādana vyāpāraḥ na aparaḥ kaścid atas anvaya vyatireka pakṣa dharma tva niścayaḥ liṅga vyāpāra ātmaka tvāt avaśya karttavyaḥ iti sarveṣu rūpeṣu niścita grahaṇam apekṣaṇīyam 
[92,i]	tatra sattva vacanena asiddham cākṣuṣa tva ādi nirastam eva kāreṇa pakṣa eka deśa asiddhaḥ nirastaḥ yathā cetanāḥ taravaḥ svāpāt iti pakṣīkṛteṣu taruṣu patra saṅkoca lakṣaṇaḥ svāpaḥ eka deśe na siddhaḥ na hi sarve vṛkṣāḥ rātrau patra saṃkoca bhājaḥ kintu kecid eva sattva vacanasya paścāt kṛtena eva kāreṇa asādhāraṇaḥ dharmaḥ nirastaḥ yadi hi anumeyaḥ eva sattvam iti kuryāt śrāvaṇa tvam eva hetuḥ syāt niścita grahaṇena sandigdha asiddhaḥ sarvaḥ nirastaḥ 
[93,i]	sa pakṣaḥ vakṣyamāṇa lakṣaṇaḥ tasmin eva sattvam niścitam iti dvitīyam rūpam iha api sattva grahaṇena viruddhaḥ nirastaḥ sa hi na asti sa pakṣe eva kāreṇa sādhāraṇā anaikāntikaḥ sa hi na sa pakṣaḥ eva varttata kintūbhayatra api sattva grahaṇāt pūrva avadhāraṇa vacanena sa pakṣa avyāpi sattākasya api prayatna ānantarīyakasya hetu tvam kathitam paścāt avadhāraṇe tu ayam arthaḥ syāt sa pakṣe sattvam eva yasya sa hetuḥ iti prayatna ānantarīyaka tvam na hetuḥ syāt niścita vacanena sandigdha anvayaḥ anaikāntikaḥ nirastaḥ yathā sarvajñaḥ kaścid vaktṛ tvāt vaktṛ tvam hi sa pakṣe sandigdham 
[94,i]	asapakṣaḥ vakṣyamāṇa lakṣaṇaḥ tasmin asattvam eva niścitam tṛtīyam rūpam tatra asattva grahaṇena viruddhasya nirāsaḥ viruddhaḥ hi vipakṣe asti eva kāreṇa sādhāraṇasya vipakṣa eka deśa vṛtteḥ nirāsaḥ prayatna anantarīyaka tve sādhye hi anitya tvam vipakṣa eka deśe vidyut ādau asti ākāśa ādau na asti tatas niyamena asya nirāsaḥ asattva śabdāt hi pūrvasmin avadhāraṇe ayam arthaḥ syāt vipakṣaḥ eva yaḥ na asti sa hetuḥ tathā ca prayatna ānantarīyaka tvam sa pakṣe api sarvatra na asti tatas na hetuḥ syāt tatas pūrvam na kṛtam niścita grahaṇena sandigdha vipakṣa vyāvṛttikaḥ anaikāntikaḥ nirastaḥ 
[95,i]	nanu ca sa pakṣaḥ eva sattvam iti ukte vipakṣe asattvam eva iti yamyate eva tat kim artham punar ubhayoḥ upādānam kṛtam ucyate anvayaḥ vyatirekaḥ vā prayujyamānaḥ niyamavān eva prayoktavyaḥ na anyathā iti darśayituṃ dvayoḥ api upādānam kṛtam aniyate hi dvayoḥ api prayoge ayam arthaḥ syāt sa pakṣe yaḥ asti vipakṣe ca yaḥ na asti sa hetuḥ iti tathā ca sati sa śyāmaḥ tad putra tvāt dṛśyamāna putra vat iti tad putra tvam hetuḥ syāt tasmāt niyamavatoḥ eva anvaya vyatirekayoḥ prayogaḥ karttavyaḥ yena pratibandhaḥ gamyeta sādhanasya sādhyena niyamavatoḥ ca prayoge avaśya karttavye dvayoḥ ekaḥ eva prayoktavyaḥ na dvau iti niyamavān eva anvayaḥ vyatirekaḥ vā prayoktavyaḥ iti śikṣaṇa artham dvayoḥ upādānam iti 
[96,i_97,i]	trairūpya kathana prasaṅgena anumeyaḥ sa pakṣaḥ vipakṣaḥ ca uktaḥ teṣām lakṣaṇam vaktavyam tatra kaḥ anumeyaḥ iti āha anumeyaḥ atra ityādi atra hetu lakṣaṇe niścetavye dharmaḥ anumeyaḥ anyatra tu sādhya pratipatti kāle samudāyaḥ anumeyaḥ vyāpti niścaya kāle tu dharmaḥ anumeyaḥ iti darśayitum atra grahaṇam jijñāsitaḥ jñātum iṣṭaḥ viśeṣaḥ dharmaḥ yasya dharmiṇaḥ sa tathā uktaḥ 
[97,ii_98,i]	kaḥ sa pakṣaḥ samānaḥ arthaḥ sa pakṣaḥ samānaḥ sadṛśaḥ yaḥ arthaḥ pakṣeṇa sa pakṣaḥ uktaḥ upacārāt samāna śabdena viśeṣyate samānaḥ pakṣaḥ sa pakṣaḥ samānasya ca sa śabda ādeśaḥ syāt etat kim tat pakṣa sa pakṣayoḥ sāmānyam yena samānaḥ sa pakṣaḥ pakṣeṇa iti āha sādhya dharma sāmānyena iti sādhyaḥ ca asau asiddha tvāt dharmaḥ ca para āśrita tvāt sādhya dharmaḥ na ca viśeṣaḥ sādhyaḥ api tu sāmānyam atas iha sāmānyam sādhyam uktam sādhya dharmaḥ ca asau sāmānyam ca iti sādhya dharma sāmānyena samānaḥ pakṣeṇa sa pakṣaḥ iti arthaḥ 
[98,ii_98,iii]	kaḥ asapakṣaḥ iti āha na sa pakṣaḥ asapakṣaḥ sa pakṣaḥ yaḥ na bhavati saḥ asapakṣaḥ 
[98,iv_100,i]	kaḥ ca sa pakṣaḥ na bhavati tatas sa pakṣāt anyaḥ tena ca viruddhaḥ tasya ca sa pakṣasya abhāvaḥ sa pakṣāt anya tvam tat viruddha tvam ca na tāvat pratyetum śakyam yāvat sa pakṣa svabhāva abhāvaḥ na vijñātaḥ tasmāt anya tva viruddha tva pratīti sāmarthyāt sa pakṣa abhāva rūpau pratītau anya viruddhau tatas abhāvaḥ sākṣāt sa pakṣa abhāva rūpaḥ pratīyate anya viruddhau tu sāmarthyāt abhāva rūpau pratīyete tatas trayāṇām api asa pakṣa tvam 
[100,ii_100,iii]	uktena trairūpyeṇa trirūpāṇi ca trīṇi eva liṅgāni iti cakāraḥ vaktavya antara samuccaya arthaḥ trairūpyam ādau pṛṣṭam trirūpāṇi ca liṅgāni pareṇa tatra trairūpyam uktam trirūpāṇi ca ucyante trīṇi eva trirūpāṇi liṅgāni trayaḥ trirūpa liṅga prakārāḥ iti arthaḥ 
[100,iv_100,v]	kāni punar tāni iti āha pratiṣedhyasya sādhyasya anupalabdhiḥ trirūpā vidheyasya sādhyasya svabhāvaḥ ca trirūpaḥ kārya ca 
[101,i_101,ii]	anupalabdhim udāha rttum āha yathā ityādi yathā iti upapradarśana artham yathā iyam anupalabdhiḥ tathā anyā api na tu iyam eva iti arthaḥ pradeśaḥ eka deśaḥ viśiṣyate iti viśeṣaḥ pratipattṛ pratyakṣaḥ tādṛśaḥ ca na sarvaḥ pradeśaḥ tat āha kvacid iti pratipattṛ pratyakṣe kvacid eva pradeśaḥ iti dharmaḥ na ghaṭaḥ iti sādhyam upalabdhiḥ jñānam tasyāḥ lakṣaṇam janikā sāmagrī tayā hi upalabdhiḥ lakṣyate tad prāptaḥ arthaḥ janaka tvena sāmagrī antarbhāvāt upalabdhi lakṣaṇa prāptaḥ dṛśyaḥ iti arthaḥ tasya anupalabdheḥ iti ayam hetuḥ 
[101,iii]	atha yaḥ yatra na asti sa katham tatra dṛśyaḥ dṛśya tva samāropādasan api dṛśyaḥ ucyate yaḥ ca evam sambhāvyate yadi asau atra bhavet dṛśyaḥ eva bhavet iti sa tatra avidyamānaḥ api dṛśyaḥ samāropyaḥ kaḥ ca evam sambhāvyaḥ yasya samagrāṇi sva ālambana darśana kāraṇāni bhavanti kadā ca tāni samagrāṇi gamyante yadā eka jñāna saṃsargi vaḥ tu antara upalambhaḥ eka indriya jñāna grāhyam locana ādi praṇidhāna abhimukham vastu dvayam anyonya apekṣam eka jñāna saṃsargi kathyate tayoḥ hi satoḥ na eka niyatā bhavati pratipattiḥ yogyatāyāḥ dvayoḥ api aviśiṣṭa tvāt tasmāt eka jñāna saṃsargiṇi dṛśyamāne sati ekasmin itarat samagra darśana sāmagrīkam yadi bhavet dṛśyam eva bhavet iti sambhāvitam dṛśya tvam āropyate tasya anupalambhaḥ dṛśya anupalambhaḥ tasmāt saḥ eva ghaṭa vivikta pradeśaḥ tad ālambanam ca jñānam dṛśya anupalambha niścaya hetu tvāt dṛśya anupalambhaḥ ucyate 
[102,i]	yāvat hi eka jñāna saṃsargi vastu na niścitam tat jñānam ca na tāvat dṛśya anupalambha niścayaḥ tatas vastu anupalambhaḥ ucyate tat jñānam ca darśana nivṛtti mātram tu svayam aniścita tvāt agamakam tatas dṛśya ghaṭa rahitaḥ pradeśaḥ tat jñānam ca vacana sāmarthyāt eva dṛśya anupalambha rūpam uktam draṣṭavyam 
[103,i_103,ii]	kā punar upalabdhi lakṣaṇa prāptiḥ iti āha upalabdhi lakṣaṇa prāptiḥ upalabdhi lakṣaṇa prāpta tvam ghaṭasya upalambha pratyaya antara sākalyam iti jñānasya ghaṭaḥ api janakaḥ anye ca cakṣuḥ ādayaḥ ghaṭāt dṛśyāt anye hetavaḥ pratyaya antarāṇi teṣām sākalyam sannidhiḥ svabhāvaḥ eva viśiṣyate tad anyasmāt iti viśeṣaḥ viśiṣṭaḥ iti arthaḥ tat ayam viśiṣṭaḥ svabhāvaḥ pratyaya antara sākalyam ca etat dvayam upalabdhi lakṣaṇa prāpta tvam ghaṭa ādeḥ draṣṭavyam 
[104,i_104,ii]	kīdṛśaḥ svabhāva viśeṣaḥ iti āha satsu ityādi upalambhasya yāni ghaṭāt dṛśyāt pratyaya antarāṇi teṣu satsu vidyamāneṣu yaḥ svabhāvaḥ san pratyakṣaḥ eva bhavati sa svabhāva viśeṣaḥ tat ayam atra arthaḥ eka pratipattrapekṣam idam pratyakṣa lakṣaṇam tathā ca sati draṣṭum pravṛttasya ekasya draṣṭuḥ dṛśyamānaḥ ubhayavān bhāvaḥ adṛśyamānāḥ tu deśa kāla svabhāva viprakṛṣṭāḥ svabhāva viśeṣa rahitāḥ pratyaya antara sākalyavantaḥ tu yaiḥ hi pratyayaiḥ sa draṣṭā paśyati te sannihitāḥ atas ca sannihitā yat draṣṭum pravṛttaḥ saḥ draṣṭum apravṛttasya tu yogya deśa sthāḥ api draṣṭum te na śakyāḥ pratyaya antara vaikalyavantaḥ svabhāva viśeṣa yuktāḥ tu dūra deśa kālāḥ tu ubhaya vikalāḥ tat evam paśyataḥ kasyacid na pratyaya antaravikalaḥ nāma svabhāva viśeṣa vikalaḥ tu bhavet apaśyataḥ tu draṣṭum śakyaḥ yogya deśa sthaḥ pratyaya antara vikala anye tu ubhaya vikalāḥ iti 
[106,i_106,ii]	anupalabdhim udāhṛtya svabhāvam udāharttum āha svabhāvaḥ ityādi svabhāvaḥ hetuḥ iti sambandhaḥ kīdṛśaḥ hetuḥ sādhyasya svabhāvaḥ iti āha svasya ātmanaḥ sattā sā eva kevalā sva sattā mātram tasmin sati bhavitum śīlam yasya iti yaḥ hetoḥ ātmanaḥ sattām apekṣya vidyamānaḥ bhavati na tu hetu sattāyāḥ vyatiriktam kañcid hetum apekṣate sa sva sattā mātra bhāvī sādhyaḥ tasmin sādhye yaḥ hetuḥ sa svabhāvaḥ tasya sādhyasya na anyaḥ 
[106,iii_106,iv]	udāharaṇam yathā iti ayam iti dharmaḥ vṛkṣaḥ iti sādhyam śiṃśapā tvāt iti hetuḥ tat ayam arthaḥ vṛkṣa vyavahāra yogyaḥ ayam śiṃśapā vyavahāra yogya tvāt iti yatra pracura śiṃśape deśe avidita śiṃśapā vyavahāraḥ jaḍaḥ yadā kenacid uccām śiṃśapām upādarśya ucyate ayam vṛkṣaḥ iti tadā asau jāḍyāt śiṃśapāyāḥ ucca tvam api vṛkṣa vyavahārasya nimittam adhasyati tadā yām eva anuccām paśyati śiṃśapām tām eva avṛkṣam avasyati sa mūḍhaḥ śiṃśapā tu a mātra nimitte vṛkṣa vyavahāre pravarttyate na uccatva ādi nimitta antaram iha vṛkṣa vyavahārasya api tu śiṃśapā tu a mātram nimittam śiṃśapā gata śākhā ādimat tvam nimittam iti arthaḥ 
[107,i_107,ii]	kāryam udāharttum āha vahniḥ iti sādhyam atra iti dharmī dhūmāt iti hetuḥ kārya kāraṇa bhāvaḥ loke pratyakṣa anupalambha nibandhanaḥ pratītaḥ iti na svabhāvasya iva kāryasya lakṣaṇam uktam 
[108,i_108,ii]	nanu tri rūpa tvāt ekam eva liṅgam yuktam atha prakāra bhedāt bhedaḥ evam sati svabhāva hetoḥ ekasya ananta prakāra tvāt tri tvam ayuktam iti āha atra dvau iti atra ityeṣu triṣu hetuṣu madhye dvau hetū vastu sādhanau vidheḥ sādhanau gamakau ekaḥ pratiṣedhasya hetuḥ gamakaḥ pratiṣedhaḥ iti ca abhāvaḥ abhāva vyavahāraḥ ca uktaḥ draṣṭavyaḥ 
[109,i]	tat ayam arthaḥ hetuḥ sādhya siddhi artha tvāt sādhya aṅgam sādhyam pradhānam atas ca sādhya upakaraṇasya hetoḥ pradhāna sādhya bhedāt bhedaḥ na svarūpa bhedāt sādhyaḥ ca kaścid vidhiḥ kaścid pratiṣedhaḥ vidhi pratiṣedhayoḥ ca paraspara parihāreṇa avasthānāt tayoḥ hetū bhinnau vidhiḥ api kaścid hetoḥ bhinnaḥ kaścid abhinna bheda abhedayoḥ api anyonya tyāgena ātma sthiteḥ bhinnau hetū tatas sādhyasya paraspara virodhāt hetavaḥ bhinnāḥ na tu svatas eva iti 
