[1,1]	  namo mañjunāthāya ॥  
[21,12]	    tasmād yo yadātmā sa svasattāmātreṇa tādṛśo bhavati । na ca bhūtvā punas tadbhāve 'parābhisaṃskāram apekṣata iti । svabhāvato 'sthitidharmaṇo bhāvasya na kiñcin nāśakāraṇaiḥ । sthitidharmaṇo 'pi kenacit svabhāvānyathābhāvasya kartum aśakyatvāt kiṃ nāśakāraṇaiḥ । anyathātvapratipattau vā tatsvabhāva eva na syād iti pūrvo vikalpas tatra coktam । yaś ca parasmād anyathābhāvaḥ so 'paraḥ svabhāvaḥ, yaś cāparaḥ sa kathaṃ tasya svabhāvabhedalakṣaṇatvād bhāvabhedasya । tathā ca pūrvako bhāvo 'pracyutidharme sthita iti na tasyānyathābhāvaḥ ॥  
[22,4]	  etena kaṭhinādīnāṃ tāmrādīnām agnyādibhyo dravatvādisvabhāvāntarotpattiḥ pratyuktā । tatrāpi pūrvakasya svarasanirodhitvād vināśe saty anyāder upādānāc cāpara eva dravasvabhāva utpanna iti ॥  
[22,7]	    sa svayaṃ sthitidharmaiva, vināśahetvasambhave 'vasthānāt । tasya parasmād vināśaḥ, na ca vināśo nāmāparaḥ svabhāvaḥ, bhāvapracyutir eva vināśa iti । nedam uttaraṃ vikalpadvayam atikrāmati । kiṃ nityo bhāvaḥ svabhāvata āhosvid anitya iti vikalpe prāṅ nityo bhūtvā paścād anityo bhavatīti bruvāṇo bhāvadvayaṃ nityānityasvabhāvabhedam, pūrvakasya nityābhimatasya svayaṃ nāśam anāśaṃ ca sarvadā prāhety asamarthaḥ pūrvasmin pakṣe vināśahetuḥ । na prāṅ nityo bhūtvā paścād anityo bhavati, kiṃ tarhi paścād api nitya eva, ekasvabhāvatvāt । sa tarhi bhāvaḥ svabhāvena vināśam anāviśan kathaṃ naṣṭo nāma, tatsvabhāvavināśayoḥ parasparaparihārarūpatvāt ॥      
[23,1]	  tasmāt saty asya vināśe vināśasvabhāvenaivānena bhavitavyam । tathāpi vyartho vināśahetur ity uktam, tena svabhāvato naśvare 'naśvare vā bhāve na vināśahetor upayogaḥ ॥  
[23,4]	    tasmād vināśe 'napekṣo bhāvas tadbhāvaniyata iti yaḥ san sa vināśī, naśvaratānivṛttau ca sattvanivṛttir iti, anvayavyatirekasiddhiḥ ॥  
[23,6]	  svabhāvato naśvaratve 'pi kaścid atatsvabhāvo 'pi syāt, na hi sarvaḥ sarvasya svabhāva iti nānvayavyatirekasiddhir iti cet, na, akṣaṇikatve 'vastutvaprasaṅgāt । śaktir hi bhāvalakṣaṇaṃ sarvaśaktiviraho 'bhāvalakṣaṇam । na cākṣaṇikasya kvacic chaktiḥ, kramayaugapadyābhyām arthakriyāvirodhāt । tasmāt — yat sat tat kṣaṇikam eveti vyāptisiddhiḥ ॥  
[23,11]	      arthāntare gamye kāryahetur avyabhicārāt ॥  
[23,12]	  kāryakāraṇabhāvena gamakatve liṅgasya sarvathā gamyagamakabhāvaḥ, sarvathā janyajanakabhāvād iti cet, na, tadabhāve bhavatas tadutpattiniyamābhāvāt । tasmāt kāryaṃ svabhāvair yāvadbhir avinābhāvi kāraṇe teṣāṃ hetus tatkāryatvaniyamāt, tair eva ca dharmair ye tair vinā na bhavanti । aṃśena janyajanakatvaprasaṅga iti cet, na, tajjanyaviśeṣagrahaṇe 'bhimatatvāt, liṅgaviśeṣopādhīnāṃ ca sāmānyānām । aviśiṣṭasāmānyavivakṣāyāṃ vyabhicārān neṣyate ॥  
[24,4]	    kasyacit kadācit kutaścid bhāve 'pi sarvas tādṛśas tathāvidhajanmeti kutaḥ । tathā ca nānvayavyatirekāv iti cet, na, atadbhāvinaḥ sakṛd api tato 'bhāvāt । parasparāpekṣayā janyajanakasvabhāvalakṣaṇe hi kāryakāraṇe । tatra yadi dhūmo 'gnyādisāmagryā anyato 'pi bhavet, na tasya tajjanyaḥ svabhāva iti sakṛd api tato na bhaved arthāntaravat । nāpi sāmagrī taṃ janayed atajjananasvabhāvatvāt sāmagryantaravat । na ca dhūmasya tadatajjanyaḥ svabhāvo yukta ekasvabhāvatvāt । dhūmādhūmajananasvabhāvād bhavato dhūmādhūmasvabhāvaḥ syāt, kāryasvabhāvānāṃ kāraṇasvabhāvakṛtatvād akāraṇāpekṣaṇe vā 'hetukatvaprasaṅgāt । tasmāt so 'gnyādisāmagrīviśeṣo yo dhūmajanakaḥ, sa dhūmo yo 'gnyādisāmagrīviśeṣajanita iti kāryakāraṇayor evaṃ svabhāvaniyamān na vijātīyād utpattiḥ । tan na dṛṣṭaṃ kāryaṃ kāraṇaṃ vyabhicarati । tena siddhe kāryakāraṇabhāve kāryasya kāraṇena vyāptiḥ siddhā bhavati ॥  
[24,17]	    nanu vijātīyād api kiñcid bhavad dṛṣṭaṃ tad yathā gomayādeḥ śālūkādiḥ । na vijātīyād utpattiḥ । tathāvidham eva hi kāraṇaṃ tādṛśām ādinimittam iti na kāraṇabhedaḥ । prabandhavṛttau tu śarād bhāvaḥ । asti ca gomayetarajanmanoḥ svabhāvabhedo rūpābhede 'pi, na hy ākārasāmyam eva bhāvānāṃ tattve nibandhanam, abhinnākārāṇām api ke ṣāñcidanyato viśeṣāj jātibhedadarśanāt । anyathā hi vilakṣaṇāyā api sāmagryā avilakṣaṇasyotpattau na kāraṇabhedābhedābhyāṃ kāryabhedābhedāv ity ahetukau viśvasya bhedābhedau syātām । tathā hi na bhedād bheda ity abhedād api nābhedaḥ, tadvyatiriktaś ca na kaścid bhāvasvabhāva ity — ahetukatvād bhāvānāṃ nityaṃ sattvam asattvaṃ vā syāt, apekṣyābhāvāt । apekṣayā hi bhāvāḥ kādācitkā bhavanti vyavasthāvāṃś ca sādhyeṣu sādhananiyogo na syāt, kāraṇaśaktipratiniyame hi kiñcid eva kasyacit sādhanāyopādīyeta nāparam, tasyaiva tatra śakter anyasya cāśakteḥ, tayos tajjananetarasvabhāvatvena bhedāt । tajjananasvabhāvavilakṣaṇād api tasyotpattau na tajjananaśaktipratiniyama iti yat kiñcid yataḥ kutaścit syāt, tajjananaśaktisāmye tu tad eveti na kāryaṃ dṛṣṭaṃ kāraṇaṃ vyabhicarati ॥      
[26,1]	      upalabdhilakṣaṇaprāptasyānupalabdhir abhāvahetur abhāvavyavahārahetur vā ॥  
[26,3]	  atropalabdher upalabhamānadharmatve tajjñānam upalabdhiḥ । tasmād anyopalabdhir anupalabdhiḥ, vivakṣitopalabdher anyatvāt, abhakṣyāsparśanīyavat paryudāsavṛttyā । upalabhyamānadharmatve viṣayasvabhāva upalabdhiḥ svaviṣayavijñānajananayogyatālakṣaṇaḥ, yogyatāyā bhāvarūpatvāt । tasmād anya upalambhajananayogya eva svabhāvo 'nupalabdhiḥ pūrvavat ।  
[26,8]	  yatra yasminn upalabhyamāne niyamena yadupalabdhir bhavati yogyatāyā aviśeṣāt, sa tatsaṃsṛṣṭaḥ, ekajñānasaṃsargāt । tayoḥ sator naikarūpaniyatā pratipattiḥ, asambhavāt । tasmād aviśiṣṭayogyatārūpayor ekajñānasaṃsargiṇoḥ parasparāpekṣam evānyatvam iheṣṭam । sa kevalas tadapekṣayā tasmād anyaḥ । tajjñānaṃ tatsvabhāvo vā jñātṛjñeyadharmalakṣaṇā 'nupalabdhiḥ । sā 'bhāvam abhāvavyavahāraṃ vā pratiyoginaḥ sādhayati ॥      
[27,1]	    katham anyabhāvas tadabhāvo yenānyabhāvarūpānupalabdhyā 'bhāvavyavahāraḥ sādhyate । uktam atra yathā paryudāsavṛttyā 'pekṣāto 'bhāvānupalabdhī, na pratiṣedhamātram ihānupalabdhiḥ, tasya sādhanāsiddher abhāvavyavahārāsiddhiprasaṅgāt । tasyāsaṃsṛṣṭarūpasya bhāvasiddhir evāparasyābhāvasiddhir ity anyabhāvo 'pi tadabhāva iti vyapadiśyate ॥  
[27,6]	  anyabhāvalakṣaṇo 'bhāvaḥ svayaṃ pramāṇena siddhas tadabhāvavyavahāraṃ sādhayet, tatsiddhisiddho vā tadabhāva iti na kaścid viśeṣo yenānupalabdhyā 'bhāvavyavahārasiddhivirodhaḥ syāt । sa evānyabhāvas tadviṣayā copalabdhis tadabhāvasya kiṃ na sādhanam, kiṃ punar anyabhāvasiddhir eva tadabhāvasiddhir iti, apṛthaksiddheḥ sambandhābhāvāc ca ॥      
[28,1]	  anyabhāvas tāvan na sādhanam ॥  
[28,2]	  yatsiddhau yasya na siddhiḥ, tat tasya liṅgaṃ bhavati dhūmāgnivat । anyabhāvasiddhyaiva tadabhāvaḥ sidhyati, tasya tadanyāsaṃsṛṣṭarūpasya kevalasya tattvavyavasthāpakād eva pramāṇād anyavyavacchedasiddheḥ ॥  
[28,5]	    sambandhābhāvāc ca । tac ca tasya liṅgaṃ bhavati yena yasya kaścit sambandho yathā kṛtakatvānityatvayor ekārthasamavāyo dhūmasya vā svaliṅginy ekārthasamavāya ādhārādheyabhāvo vā janyajanakabhāvo vā । naivaṃ kaścid bhāvābhāvayoḥ sambandho yenāsya sādhanaṃ syāt ॥  
[28,9]	  asti viṣayaviṣayibhāvaḥ śabdārthavat sambandha iti cet, na, śabdārthayos tatpratipādanābhiprāye sati prayogāt tena saha kāryakāraṇalakṣaṇo 'vinābhāvalakṣaṇo vā sambandhaḥ syāt । ayaṃ ca prakāro 'tra na sambhavati । kuto viṣayaviṣayibhāvaḥ । siddhe hi tayoḥ sādhyasādhanabhāve tanmukhena viṣayaviṣayibhāvaḥ syāt । sa evāsati sambandhe na sidhyati । tadasiddhau na viṣayaviṣayibhāvaḥ । anyathetaretarāśrayam idaṃ syāt ॥  
[28,16]	    anyabhāvāc cābhāvasiddhāv asamudāyaś ca sādhyaḥ syāt । tathā ca — ghaṭābhāvas tadanyabhāvād iti ghaṭasya sarvatra sarvadā 'bhāvaḥ syāt । na, pradeśādidharmiviśeṣaṇasyābhāvasya sādhanād iti cet । syād etat pradeśāder dharmiṇo viśeṣaṇabhūto 'bhāvaḥ sādhyate na kevalaḥ, tena nāsamudāyasādhanam । na ca liṅgaliṅginor asambandho 'nyabhāvasya pradeśādidharmisambandhād iti । na, pradeśāder eva tadanyabhāvatvāt । yatraiva hi pradeśādau yan nāstīty ucyate, sa eva tadasaṃsṛṣṭo 'nyabhāvaḥ । taddarśanād evāsya ghaṭo nāstīti bhavati । kathaṃ tasyaiva liṅgaliṅgibhāvaḥ ॥  
[29,7]	    na cātra sāmānyaviśeṣabhāvavikalpaḥ sambhavati, yena sāmānyaṃ hetuḥ syād viśeṣo dharmī, tadviśeṣapratipatter eva tadabhāvapratītes tasya cānyatrānanvayāt । pratijñārthaikadeśatvāc cāliṅgatvam । na ca yatra pradeśamātraṃ tatra ghaṭābhāvaḥ । tādṛśe kevale pradeśe 'bhāva eveti cet, nanu tasyaiva kaivalyam iti ghaṭaviraha ucyate । sa ceha liṅgabhūtapradeśapratipattāv eva siddhaḥ । kasyedānīṃ tal liṅgam । anvayānugamanaṃ ca nirarthakam । tasmād anyabhāvo na sādhanam abhāvasya ॥  
[29,14]	    asti sambandho virodhaḥ, tato 'nyabhāvād abhāvasiddhir iti cet, kena kasya virodhaḥ । anyabhāvena pratiyoginaḥ । kiṃ nu vai pratiyogī pramātum iṣṭo yena virodhaḥ sambandho liṅgaliṅginoḥ । abhāvas tu pratiyogino 'nyabhāvena na virudhyate, sahāvasthānāt । tasmin prameye kathaṃ virodho liṅgaliṅginor ity asambandha eva । atrāpy asamudāyasādhyatvaṃ tadavastham ॥  
[30,3]	    nanv asati sambandhe tadabhāvānyabhāvayor anyabhāvagatyāpi tadabhāvagatir na syāt, na vai kutaścit sambandhād anyabhāvas tadabhāvasya gamaka iṣyate, api tv anyabhāva eva tadabhāvaḥ, yathoktaṃ prāk । tasyānanyasaṃsṛṣṭarūpasya kevalasyaikātmani vyavasthitasya tenātmanā pariccheda evāparasya vyavaccheda iti, tasya kaivalyam evāparavaikalyam iti, tadanyabhāva eva tadabhāvaḥ, tadanyapratipattir eva ca tadapratipattir ucyate । anyathā tatparicchedena tadanyāvyavacchede tatpariccheda eva na syāt, tadatadrūpayor avivekād iti । ya eṣa kasyacid darśanāt kvacit prāptiparihārārtho vyavahāraḥ, sa eva na syāt । na hy ayam analaṃ paśyann apy analam eva paśyati, yena salilārthī tatra na pravarteta ॥  
[30,13]	  anupalambhena salilābhāvaṃ pratipadyata iti cet, ko 'yam anupalambho nāma । yadi salilopalambhābhāvaḥ, sa katham abhāvaḥ kasyacit pratipattiḥ pratipattihetur vā । tasyāpi kathaṃ pratipattiḥ । kasyacid api tasya tadanyasya vā 'pratipattāv api svāpamadamūrchāvyavadhānaparāṅmukhyāvasthādiṣu kiṃ nābhāvapratipattir iti vicāritaṃ pramāṇaviniścaye । tasmād ayam analaṃ paśyann apy analo 'yaṃ na salilam ity anadhyavasyan na tiṣṭhen na pratiṣṭheteti dustaraṃ vyasanam āpannaḥ ॥  
[31,3]	    tata evaikadarśanād anyābhāvapratītir iti cet, katham ekaṃ paśyann anyan nāstīti pratīyāt । tasyaiva kevalasya darśanād iti cet, idam evāsmābhir ucyamānaṃ kim atra bhavataḥ paruṣam ivābhāti । tasmāt tīrādarśineva śakuninā dūraṅgatvāpi punar āgantavyam ity alam apratiṣṭhānadikpratipattyā ॥  
[31,8]	    yady ekaparicchedād eva anyasya vyavacchedasiddhiḥ, aviśeṣeṇānyasya sarvasya tatrābhāvasiddhiḥ syāt, na tulyayogyāvasthasyaiva । upalabdhilakṣaṇaprāptasyānupalabdhir abhāvavyavahārasādhanīti viśeṣaṇaṃ cāvācyam, anupalabdhilakṣaṇaprāptānām api tatra vyavacchedāt । ekātmaparicchedāt tasya tadanyātmavyavacchedo bhavati, tadātmaniyatapratibhāsajñānāt, na hi tadātmā tadanyātmeti । avyavacchede 'nyātmanaḥ pravṛttinivṛttyor abhāva iti pūrvaḥ prasaṅgaḥ । taṃ ca deśakālasvabhāvāvasthāniyataṃ tadātmanopalabhamānā buddhis tathātvapracyutim asya vyavacchinatti । evaṃ hi sa tayā paricchinno bhavati, yady anyathābhāvo vyavacchinnas tathātvaṃ ca tasyaiva bhavati nānyasyety anyathābhūtāt tathābhūtaṃ vyavacchindaty eva tatparicchinattīty ekapramāṇavṛttiḥ sarvabhāvān dvairāśye vyavasthāpayati, tasyānvayavyatirekabuddhihetutvenaiva sāphalyāt ॥  
[32,3]	  tadvyatiriktāśeṣavyavacchedavyāptisādhanād eva prakārāntarābhāvasiddhiḥ, tasya tadanyatayā 'vyāptau tena tadarthāvyavacchedāt punarbhāvāparicchedaprasaṅgāt । tasmāt kvacit pramāṇaṃ pravṛttaṃ tat paricchinatti, tato 'nyad vyavacchinatti, tṛtīyaprakārābhāvaṃ ca sūcayatīty ekapramāṇavyāpāra eṣaḥ । tathā hi kvacit pramāṇaṃ pravṛttaṃ tad eva tadanyasmād vyavacchinatti, tasyaiva paricchedāt, tadanyad eva ca tasmāt tadanyasya tatrāparicchedāt । atas tad eva pramāṇaṃ prakārāntarābhāvaṃ sādhayati, tasmin dṛśyamāne 'dṛṣṭatadanyatvena sarvasya vyavasthāpanād atadanyasyaiva ca tattvena vyavasthāpanāt । etena kramākramādayo 'nyonyavyavacchedarūpā vyākhyātāḥ ॥  
[32,13]	  tad evam ekopalambhāt tasya tadanyātmano vyavacchedo bhavati, na taddeśakālayoḥ sarvānyabhāvavyavacchedaḥ । tasmād atadātmā ca syāt taddeśakālaś ca, rasarūpādivat । tasmāt kvacit kadācit kasyacid abhāvasiddhir yathoktād evānupalambhāt syāt ॥  
[32,17]	    anyabhāvaviṣayā punar upalabdhis tadabhāvasya sādhikeṣṭaiva na punar liṅgatvenaiva, tatrāpy abhāvasya pṛthak sādhyatve sambandhābhāvasya tulyatvāt । liṅgāvirbhāvakāla eva tadabhāvasiddheś ca । na hy anyabhāvaṃ pratipadya punas tatpratipatter anvayavyatirekau prasādhya tadabhāvaṃ pratipadyate । kiṃ tarhi । tadanyaṃ pratipadyamāna eva tadabhāvaṃ pratyeti, taddarśanānantaram avyavadhānena - idam astīdaṃ nāstīti vyavasāyāt, dṛṣṭāntāsiddheś ca । tac ca tasya liṅgaṃ bhavati yasya yenānvayo 'sti । na hy evaṃ śakyaṃ darśayituṃ yatrānyabhāvopalabdhis tatra tadabhāva iti, tadekopalabdheḥ kvacid apy anyatrābhāvāt । sāmānyena pradarśane dṛṣṭānte 'pi pramāṇāntarābhāvāt saiva tadanyabhāvopalabdhiḥ sādhyadharmasya sādhiketi dṛṣṭāntānavasthāyām apratipattiḥ ॥  
[33,9]	  tasmān na kutaścil liṅgāt tadabhāvasiddhiḥ । so 'nyabhāvaḥ pratyakṣalakṣaṇenānupalambhena siddho 'bhāvavyavahāraṃ sādhayen mūḍhapratipattāv ity alaṃ prasaṅgena ॥  
[33,12]	    seyaṃ trividhānupalabdhiḥ - siddhe kāryakāraṇabhāve siddhābhāvasya kāraṇasyānupalabdhiḥ, vyāpyavyāpakabhāvasiddhau siddhābhāvasyaiva vyāpakasyānupalabdhiḥ, svabhāvānupalabdhiś ceti । tatra kāraṇavyāpakayor api svabhāvāsadvyavahārasiddhir anyabhāvasiddhir eva । sa tathāsiddhaḥ kāryavyāpyayor abhāvam abhāvavyavahāraṃ vā sādhayati । svabhāvānupalabdhau tu vyavahāra evānupalabdhyā liṅgabhūtayā sādhyate ॥  
[33,18]	    yadi tarhi kāraṇavyāpakau tadanyabhāvasiddhirūpayānupalabdhyā siddhāsadvyavahārāvabhāvam anyasya sādhayataḥ, sā ca tayor upalabdhilakṣaṇaprāptāv evāsadvyavahārasya sādhiketi, kathaṃ tayoḥ parokṣe 'rthe prayogaḥ । naiva prayogaḥ pramāṇatayā liṅgāniścayāt । kevalaṃ siddhasambandhayoḥ kāraṇavyāpakayor yady abhāvaḥ parasyāpy avaśyam abhāvaniścaya iti darśanārtham ete prayujyete ॥  
[34,5]	  ity eṣa eva pakṣadharmo 'nvayavyatirekavān iti tadaṃśena vyāptas trilakṣaṇa eva trividha eva hetur gamakaḥ, svasādhyadharmāvyabhicārāt ॥  
[34,5*]	      ṣaḍlakṣaṇo hetur ity apare - trīṇi caitāni, abādhitaviṣayatvaṃ vivakṣitaikasaṅkhyatvaṃ jñātatvaṃ ceti ॥  
[34,7]	    tatrābādhitaviṣayatvaṃ tāvan na pṛthag lakṣaṇam, bādhāvinābhāvayor virodhāt । avinābhāvo hi hetoḥ sādhyadharme saty eva bhāvaḥ । kathaṃ ca sa tallakṣaṇo dharmiṇi hetuḥ syān na cātra sādhyadharmo bhavet । pratyakṣānumāne hi sādhyadharmaṃ bādhane pravṛtte taṃ tato dharmiṇo nivartayatas tasmin saty eva bhavan hetus taṃ tatra dharmiṇi pravartayatīti paraṃ bata bhāvānām asvāsthyaṃ vartate ॥  
[34,13]	  anyatra sādhyadharmeṇāvinābhāvī hetur na sādhyadharmiṇy eveti cet, tat kim ayaṃ tapasvī ṣaṇḍham udvāhya putraṃ mṛgyate । yasya dharmiṇi sādhyadharme 'saty api bhāvas tam upadarśya kathaṃ dharmī sādhyadharmavān ity ucyate । ata evābādhām uktām iti cet, syād etad yata eva hetur anyathāpi bhavet, ata eva pramāṇābhyām abādhitataddharmā dharmīty ucyata iti । tat kim idānīṃ hetoḥ sāmarthyam abādhayaiva sādhyasiddheḥ, sādhyābhāvo hi bādhakapramāṇavṛttiniyata ity abādhāyāṃ sādhyasiddhir iti vyartho hetuḥ । bādhāyām api sādhanasāmarthyābhāvāt । aniyame na ca bādhakaṃ pramāṇaṃ syāt sādhyābhāvasya ca sambhava iti nābādhāyāḥ sāmarthyam ॥  
[35,7]	    na ca bādhā'bhāvo 'bādhā । kiṃ tarhi bādhānupalabdhiḥ । sā puruṣasya kvacid bādhāsambhave 'pi syād iti sa hetuprayogaviṣayaḥ । kiṃ nu vai hetur bādhopalabdher bibheti na bādhāyāḥ, yena bādhām anādṛtyānupalabdhau prayoga iṣṭaḥ । sa tarhi hetuḥ paramārthato bādhāyā bhāvam abhāvaṃ vā 'napekṣya bādhā'nupalabdhau prayoktavyaḥ । sa kimarthaṃ prayujyate । sādhyasiddhyartham । sa kiṃ kvacid bādhāyām api satyāṃ sādhyaṃ sādhayed yenāsyā nābhāvanirṇayaṃ prati yatnaḥ kriyate hetuś ca prayujyate । tathāpi nābādhitaviṣayatvaṃ hetulakṣaṇam, bādhāyām apy asya sāmarthyāt । tathā ca yathānupalambhe bādhāyā bhāvasambhave 'py abhyupagamya prayogaḥ saṃśayitasyānabhyupagame pravṛttyayogāt, tathā bādhopalabdhāv api prayogaḥ, abhyupagame sati viśeṣābhāvāt ॥  
[35,18]	    na bādhāyāṃ samartha iti cet, yady evaṃ nānirṇītabādhā'sambhavaḥ prayogam arhati - mā bhūt prayuktasyāpy asāmarthyam iti ॥      
[36,1]	  bādhā'nupalambhe sāmarthyam iti cet, kim upalambho bādhāṃ vyāpnoti, yena tannivṛttau bādhānivṛttir yato hetor bādhāsambhavakṛtam asāmarthyaṃ na syāt । tathāpi vyartho hetur bādhā'nupalambhād eva sādhyasiddheḥ, anupalambhe bādhā'sambhavāt । upalambhanivṛttāv api bādhā'nivṛttau tadavasthaṃ hetor asāmarthyam ity aprayogaḥ । tasmāt svasādhyabhāvābhāvābhyām anyathāpi bhavan dharmiṇi hetur na kiñcid bhāvayati na vibhāvayatīti na tadupakṣepaḥ samarthaḥ । tan na bādhā'vinābhāvayoḥ sahabhāvaḥ । tena nābādhā rūpāntaram ॥  
[36,9]	    tan nāma tasmād viśeṣaṇāntaraṃ syāl lakṣaṇāntaratvena vopādānam arhati, yadbhāve 'pi yasyānyathābhāvaḥ, tadyathā pakṣadharmatvaṃ sapakṣe ca bhāva iti । na caitadabādhāyā avinābhāve sati sambhavatīti na hetuviruddhayoḥ sādhyaviparyayāvinābhāvinor viṣaye bādhā sambhava iti na tadabhāvaḥ pṛthag anayor lakṣaṇatvena vācyaḥ । tasmān na hetuprayoge sati pratijñādoṣāṇāṃ sambhavaḥ । nāpi kevalāyāḥ pratijñāyāḥ prayogo 'stīti na pratijñādoṣā vācyāḥ ॥  
[35,16]	      etenaikasaṅkhyāvivakṣāpi pratyuktā । katham eko hi svasādhyabhāva eva bhāvāt tenāvyabhicārī । tatraiva tadanyo 'pi tadbādhakasya bhāva eva bhāvād viruddhas teneti bādhayā samānam ॥  
[36,19]	    api ca yo vastuto 'sambhavatpratihetuḥ, sa kiṃ samyagjñānaviparyayahetur iṣṭaḥ, āhosvid apradarśitapratihetuḥ । kiṃ cātaḥ ॥      
[37,1]	    yady asambhavatpratihetuḥ, alakṣaṇam etad aśakyaniścayatvāt । hetvabhāvo vā । na hy aniścitātmanaḥ pratipādakadharmasya tallakṣaṇatvaṃ saṃdigdhapakṣadharmatvavat, nāpi saṃdigdhalakṣaṇo hetur iti, na kaścid dhetuḥ syāt । tulyalakṣaṇe hi dṛṣṭaḥ pratiyogisambhavo 'dṛṣṭapratiyogiṣv api śaṅkām utpādayati, viśeṣābhāvāt । sati vā viśeṣe sa eva hetulakṣaṇam । tato hi hetur ekāntena nirastapratipakṣaḥ svasādhyaṃ niścāyayatīty atallakṣaṇo na hetuḥ syāt । tathā caikasaṅkhyāvivakṣā vyarthā । ato viruddhāvyabhicārilakṣaṇaṃ hīyeta - svalakṣaṇayuktayor hetvor ekatra virodhenopanipāte viruddhāvyabhicārīti । na ca tasya viśeṣasya rūpaṃ nirdiśyate, yat pratītya pratiyogisambhavāsambhavāv utpaśyāmaḥ । tasmān nāsty eva viśeṣa iti sarvatra śaṅkayā bhavitavyam । dṛṣṭapratihetor api hetoḥ prāg itareṇa na kaścid viśeṣo lakṣyate । na ca sambhavatpratihetūnām api sarvadā tadupalabdhiḥ, atiśayavatī tu prajñotprekṣaṇī dṛṣṭā । tenāniścayaḥ sambhavāsambhavayor ity aniścitalakṣaṇatvān na kaścid dhetuḥ syāt ॥  
[37,15]	      athāpradarśitapratihetur hetuḥ, yathāha - yadā tarhi śabdatvaṃ nityam abhyupaiti, tadāyaṃ hetur eva syāt, yady atrānityatvahetuṃ kṛtakatvādikam api kaścin na nirdeśayed iti । idam idānīṃ kaṣṭataraṃ vyasanam āpatitam aprakāśyam asaṃvaraṇīyaṃ ca kathaṃ nirvoḍhuṃ śakyeta । sa tāvad ayaṃ hetur vastūni svasādhyatattvaprakṛtīni kṛtvā tatpramāṇakān puruṣān abhyudayaniḥśreyasābhyāṃ saṃyojya punaḥ pratibhāvatā puruṣeṇa hetvantaranidarśanotkīlitasādhanasāmarthyas tāni vastūni tāṃś ca puruṣāṃs tadbhāvasampadaḥ pracyāvya bhraṣṭarājya iva rājā tapovanaṃ gacchatīti kim atra brūmaḥ ॥  
[38,4]	    puruṣapratibhākṛte ca sādhanatve kim idānīṃ vastutaḥ sādhanam asādhanaṃ vā । sa ca hetuḥ svabhāvatas taddharmabhāvī katham anyathā kriyate, vastūnāṃ svabhāvānyathābhāvasya viruddhobhayasvabhāvasya cābhāvāt, ataddharmabhāvī ca katham anyadāpi sādhanaṃ kasyacit ॥  
[38,8]	  tasmāt svabhāvataḥ svasādhyāvinābhāvinor vihitalakṣaṇayoḥ kāryasvabhāvayos tallakṣaṇasya pratihetor abhāvād alakṣaṇam ekasaṅkhyāvivakṣā, vyavacchedyābhāvāt ॥  
[38,11]	      jñānaṃ punar aliṅgadharmaḥ । kathaṃ liṅgasya lakṣaṇaṃ syāt । kiṃrūpāl liṅgād arthaḥ pratipattavya iti cintāyāṃ pratipattur avisaṃvādakasya rūpam ucyate, yaddarśanād ayaṃ sādhanāsādhane pravivecya tasyeṣṭārthasannidhānapratyayāt pravartate । tatra yad asyātmarūpaṃ tal lakṣaṇaṃ na pararūpaṃ pratipattijanmany upayogamātrāt, tallakṣaṇatve 'tiprasaṅgāt । evaṃ hi prameyapuruṣādīnām api tallakṣaṇatvaṃ syāt, na hi teṣv apy asatsu liṅgini jñānam iti ॥  
[38,18]	    niścitagrahaṇaṃ tarhi na kartavyam । na na kartavyam, tasyānyārthatvāt ।      
[39,1]	  sapakṣavipakṣayor darśanādarśanābhyāṃ gamakaṃ hetum icchatāṃ naivaṃ samartho hetur bhavati, darśanādarśanayoḥ sator apy agamakatvāt । tena bhāvābhāvābhyāṃ gamaka iti jñāpanārthaṃ niścitagrahaṇam । tena na pararūpaṃ lakṣaṇam, liṅgarūpaviśeṣasya tenānabhidhānāt । tau hi bhāvābhāvau tadbhāvasādhanapramāṇavṛttyā boddhavyau, upāyāntarasyāsambhavāt । tena tayoḥ pradarśanāya niścitaśabdaḥ prayukto lakṣaṇe, yady api bhāvābhāvavacanamātreṇāpi tatsādhanapramāṇavṛttir ākṣipyate । anyathā tayor eva sattā'prasiddheḥ, jñānasattānibandhanatvāj jñeyasattāvyavasthāyāḥ - sarvatra sattāvyavasthaiva pramāṇaṃ tatsādhanam anvākarṣatīti । parārthatvāc ca śāstrapraṇayanasya — trirūpaṃ liṅgaṃ vaḥ saṃvādakam arthasyeti । tad rūpaṃ ye na vidanti na teṣāṃ tataḥ pravṛttir iti paropalakṣaṇatvād eva jñānaṃ siddham iti, tathāpi tāv eva bhāvābhāvau kecid darśanādarśanamātreṇa vyavasthāpayantīti tanniṣedhārtho niścitaśabdaḥ, sator api bhāvābhāvayor anvayavyatirekayoḥ sattāsaṃśayāt । yataḥ pramāṇād anayor niścayaḥ, tadadhīnāsattāprasiddhir iti jñāpanāya niścitavacanaṃ kṛtam asmābhiḥ ॥      
[40,1]	  yato 'pi bhāvābhāvavacanamātreṇa tatsādhanapramāṇākṣepasiddhiḥ pṛthag ato na jñānaṃ lakṣaṇam, tenaiva gatatvāt, upanayārthavat pakṣadharmatvāt ॥  
