<1>

{1,1}

[1,1.1]	athāto dharmajijñāsā.
[3,4.15]	prakaraṇaviśeṣād vā tadyuktasya saṃskāro dravyavat.
[3,4.16]	vyapadeśād apakṛṣyeta.
[3,4.17]	śaṃyau ca sarvaparidānāt.
[3,4.18]	prāgaparodhān malavad vāsasaḥ.
[3,4.19]	annapratiṣedhāc ca.
[3,4.20]	aprakaraṇe tu tadvarmas tato viśeṣāt.
[3,4.21]	adravyatvāt tu śeṣaḥ syāt.
[3,4.22]	vedasaṃyogāt.
[3,4.23]	dravyasaṃyogāc ca.
[3,4.24]	syād vāsya saṃyogavat phalena sambandhas tasmāt karmaitiśāyanaḥ.
[3,4.25]	śeṣāḥ prakaraṇe 'viśeṣāt sarvakarmaṇām.
[3,4.26]	homās tu vyavatiṣṭher annāhavanīyasaṃyogāt.
[3,4.27]	śeṣaś ca samākhyānāt.
[3,4.28]	doṣāt tv iṣṭir laukike syāc chāstrād dhi vaidika na doṣaḥ syāt.
[3,4.29]	arthavādo vānupapātat tasmād yajñe pratīyeta.
[3,4.30]	acodita ca karmabhedāt.
[3,4.31]	liṅgād ārtvije syāt.
[3,4.32]	pānavyāpac ca tadvat.
[3,4.33]	doṣāt tu vaidike syād arthād dhi laukike na doṣaḥ syāt.
[3,4.34]	tatsarvatrāviśeṣāt.
[3,4.35]	svāmino vā tadarthatvāt.
[3,4.36]	liṅgadarśanāc ca.
[3,4.37]	sarvapradānaṃ haviṣas tadarthatvāt.
[3,4.38]	niravadānāt tu śeṣaḥ syāt.
[3,4.39]	upāyo vā tadarthatvāt.
[3,4.40]	kṛtatvāt tu karmaṇaḥ sakṛt syād dravyasya guṇabhūtatvāt.
[3,4.41]	śeṣadarśanāc ca.
[3,4.42]	aprayojakatvād ekasmāt kriyerañ cheṣasya guṇabhūtatvāt.
[3,4.43]	saṃskṛtatvāc ca.
[3,4.44]	sarvebhyo vā kāraṇāviśeṣāt saṃskārasya tadarthatvāt.
[3,4.45]	liṅgadarśanāc ca.
[3,4.46]	ekasmāc ced yathākāmyam aviśeṣāt.
[3,4.47]	mukhyād vā pūrvakālatvāt.
[3,4.48]	bhakṣāśravaṇād dānaśabdaḥ parikraye.
[3,4.49]	tatsaṃstavāc ca.
[3,4.50]	bhakṣārtho vā dravye samatvāt.
[3,4.51]	vyādeśād dānasaṃstutiḥ.

{3,5}

[3,5.1]	ājyāc ca sarvasaṃyogāt.
[3,5.2]	kāraṇāc ca.
[3,5.3]	ekasmint samavattaśabdāt.
[3,5.4]	ājye ca darśanātsviṣṭakṛdarthavadasya.
[3,5.5]	aśeṣatvāt tu naivaṃ syāt sarvādānād aśeṣatā.
[3,5.6]	sādhāraṇyān na dhruvāyāṃ syāt.
[3,5.7]	avattatvāc ca juhvāṃ tasya ca homasaṃyogāt.
[3,5.8]	camasavad iti cet.
[3,5.9]	na codanāvirodhād dhaviḥ prakalpanātvāc ca.
[3,5.10]	utpannādhikārāt sati sarvavacanam.
[3,5.11]	jātiviśeṣāt param.
[3,5.12]	antyam arekārthe.
[3,5.13]	sākamprasthāyye sviṣṭakṛd iḍaṃ ca tadvat.
[3,5.14]	sautrāmaṇyāṃ ca graheṣu.
[3,5.15]	tadvac ca śeṣavacanam.
[3,5.16]	dravyaikatve karmabhedāt pratikarma kriyeran.
[3,5.17]	avibhāgāc ca śeṣasya sarvān pratyaviśiṣṭhatvāt.
[3,5.18]	aindravāyave tu vacanāt pratikarma bhakṣaḥ syāt.
[3,5.19]	some 'vacanād bhakṣo na vidyate.
[3,5.20]	syād vānyārthadarśanāt.
[3,5.21]	vacanāni tv apūrvatvāt tasmād yathopadeśaṃ syuḥ.
[3,5.22]	camaseṣu samākhyānāt saṃyogasya tannimittattvāt.
[3,5.23]	udgātṛcamasamekaḥ śrutisaṃyogāt.
[3,5.24]	sarve vā sarvasaṃyogāt.
[3,5.25]	stotrakāriṇāṃ vā tatsaṃyogād bahuśruteḥ.
[3,5.26]	sarve tu vedasaṃyogāt kāraṇād ekadeśe syāt.
[3,5.27]	grāvastuto bhakṣo na vidyate 'nāmnānāt.
[3,5.28]	hāriyojane vā sarvasaṃyogāt.
[3,5.29]	camasināṃ vā sannidhānāt.
[3,5.30]	sarveṣāṃ tu vidhitvāt tadarthā camasiśrutiḥ.
[3,5.31]	vaṣaṭkārāc ca bhakṣayet.
[3,5.32]	homābhiṣabābhyāṃ ca.
[3,5.33]	pratyakṣopadeśāc camasānām avyaktaḥ śeṣe.
[3,5.34]	syād vā kāraṇabhāvād anirdeśaś camasānāṃ kartus tadvacanatvāt.
[3,5.35]	camase cānyadarśanāt.
[3,5.36]	ekapātre kramād adhvaryuḥ pūrvo bhakṣayet.
[3,5.37]	hotā vā mantravarṇāt.
[3,5.38]	vacanāc ca.
[3,5.39]	kāraṇānupūrvyāc ca.
[3,5.40]	vacanād anujñātabhakṣaṇam.
[3,5.41]	tadupahūta upahvayasvety anenānujñāpayeliṅgāt.
[3,5.42]	tatrārthāt prativacanam.
[3,5.43]	tadekatrāṇāṃ samavāyāt.
[3,5.44]	yājyāpanayenāpanīto bhakṣaḥ pravaravat.
[3,5.45]	yaṣṭur vā kāraṇāgamāt.
[3,5.46]	pravṛttatvāt pravarasyānapāyaḥ.
[3,5.47]	phalacamaso naimittiko bhakṣavikāraḥ śrutisaṃyogāt.
[3,5.48]	ijyābikāro vā saṃskārasya tadarthatvāt.
[3,5.49]	homāt.
[3,5.50]	camasaiś ca tulyakālatvāt.
[3,5.51]	liṅgadarśanāc ca.
[3,5.52]	anuprasarpiṣu sāmānyāt.
[3,5.53]	brahmaṇā vā tulyaśabdatvāt.

{3,6}

[3,6.1]	tat sarvārtham aprakaraṇāt.
[3,6.2]	prakṛtau vādviruktatvāt.
[3,6.3]	tadvarjaṃ tu vacanaprāpte.
[3,6.4]	darśanād iti cet.
[3,6.5]	na codanaikārthyāt.
[3,6.6]	utpattir iti cet.
[3,6.7]	na tulyatvāt.
[3,6.8]	codanārthakārtsnyāt tu mukhyavipratiṣedhāt prakṛtyarthaḥ.
[3,6.9]	prakaraṇaviśeṣāt tu vikṛtau virodhi syāt.
[3,6.10]	naimittikaṃ tu prakṛtau tadvikāraḥ saṃyogaviśeṣāt.
[3,6.11]	iṣṭayarthamagnyādheyaṃ prakaraṇāt.
[3,6.12]	na vā tāsāṃ tadarthatvāt.
[3,6.13]	liṅgadarśanāc ca.
[3,6.14]	tatprakṛtyarthaṃ yathānye 'nārabhyavādāḥ.
[3,6.15]	sarvārtha vāgnyadhānasya svakālatvāt.
[3,6.16]	tāsām agniḥ prakṛtitaḥ prayājavat syāt.
[3,6.17]	na vā tāsāṃ tadarthatvāt.
[3,6.18]	tulyaḥ sarveṣāṃ paśuvidhiḥ prakaraṇāviśeṣāt.
[3,6.19]	sthānāc ca pūrvasya.
[3,6.20]	śvas tv ekeṣāṃ tatra prākśrutir guṇārthā.
[3,6.21]	tenotkṛṣṭasya kālavidhir iti cet.
[3,6.22]	naikadeśatvāt.
[3,6.23]	artheneti cet.
[3,6.24]	na śrutivipratiṣedhāt.
[3,6.25]	sthānāt tu pūrvasya saṃskārasya tadarthatvāt.
[3,6.26]	liṅgadarśanāc ca.
[3,6.27]	acodanā guṇārthena.
[3,6.28]	dohayoḥ kālabhedād asaṃyuktaṃ śṛtaṃ syāt.
[3,6.29]	prakaraṇavibhāgād vā tatsaṃyuktasya kālaśāstram.
[3,6.30]	tadvat savanāntare grahāmnānam.
[3,6.31]	raśanā ca liṅgadarśanāt.
[3,6.32]	ārāc chiṣṭam asaṃyuktam itaraiḥ sannidhānāt.
[3,6.33]	saṃyuktaṃ vā tadarthatvāc cheṣasya tannimittatvāt.
[3,6.34]	nirdeśād vyavatiṣṭheta.
[3,6.35]	agnyaṅgam aprakaraṇe tadvat.
[3,6.36]	naimittikam atulyatvād asamānavithānāṃ syāt.
[3,6.37]	pratinidhiś ca
[3,6.38]	tadvatprayojanaikatvāt.
[3,6.39]	aśāstralakṣaṇatvāc ca.
[3,6.40]	niyamārthā guṇaśrutiḥ.
[3,6.41]	saṃsthās tu samānavidhānāḥ prakaraṇāviśeṣāt.
[3,6.42]	vyapadeśaś ca tulyavat.
[3,6.43]	vikāsas tu kāmasaṃyoge nityasya samatvāt.
[3,6.44]	api vā dviruktatvāt prakṛter bhaviṣyantīti.
[3,6.45]	bacanāt tu samuccayaḥ.
[3,6.46]	pratiṣedhāc ca pūrvaliṅganām.
[3,6.47]	guṇaviśeṣād ekasya vyapadeśaḥ.

{3,7}

[3,7.1]	prakaraṇaviśeṣād asaṃyuktaṃ pradhānasya.
[3,7.2]	sarveṣāṃ vā śeṣatvasyātatprayuktatvāt.
[3,7.3]	ārādapīti cet.
[3,7.4]	na tadvākyaṃ hi tadarthatvāt.
[3,7.5]	liṅgadarśanāc ca.
[3,7.6]	phalasaṃyogāt tu svāmiyuktaṃ pradhānasya.
[3,7.7]	cikīrṣayo ca saṃyogāt.
[3,7.8]	tathābhidhānena.
[3,7.9]	tadyukte tu phalaśrutis tasmāt sarvacikīrṣā syāt.
[3,7.10]	guṇābhidhānāt sarvārtham abhidhānam.
[3,7.11]	dīkṣādakṣiṇaṃ tu vacanāt pradhānasya.
[3,7.12]	nivṛttidarśanāc ca.
[3,7.13]	tathā yūpasya vedi.
[3,7.14]	deśamātraṃ vā śiṣṭenaikavākyatvāt.
[3,7.15]	sāmadhenīs tad anvāhur iti havir ddhānayor vacanāt sāmadhenīnām.
[3,7.16]	deśamātraṃ vā pratyakṣaṃ hy arthakarma somasya.
[3,7.17]	samākhyānaṃ ca tadvat.
[3,7.18]	śāstraphalaṃ prayoktari tallakṣaṇatvāt tasmāt svayaṃ prayoge syāt.
[3,7.19]	utsarge tu pradhānatvāc cheṣakārī pradhānasya tasmād anyaḥ svayaṃ vā syāt.
[3,7.20]	anyo vā syāt parikrayāmnānād vipratiṣedhāt pratyag ātmani.
[3,7.21]	tatrārthāt kartṛparimāṇaṃ syād aniyamo 'viśeṣāt.
[3,7.22]	api vā śruti bhedāt pratināmadheyaṃ syuḥ.
[3,7.23]	ekasya karmabhedād iti cet.
[3,7.24]	notpattau hi.
[3,7.25]	camasādhvaryavaś ca tair vyapadeśāt.
[3,7.26]	utpattau tu bahuśruteḥ.
[3,7.27]	daśatvaṃ liṅgadarśanāt.
[3,7.28]	śamitā ca śabdabhedāt.
[3,7.29]	prakaraṇād votpattyasaṃyogāt.
[3,7.30]	upagāś ca liṅgadarśanāt.
[3,7.31]	vikrayī tvanyaḥ karmaṇo 'coditvāt.
[3,7.32]	karmakāryāt sarveṣām ṛtviktvam aviśeṣāt.
[3,7.33]	na vā parisaṃkhyānāt.
[3,7.34]	pakṣeṇeti cet.
[3,7.35]	na sarveṣām adhikāraḥ.
[3,7.36]	niyamas tu dakṣiṇābhiḥ śrutisaṃyogāt.
[3,7.37]	uktvā ca yajamānatvaṃ teṣāṃ dīkṣābidhānāt.
[3,7.38]	svāmisaptadaśāḥ karmasāmānyāt.
[3,7.39]	te sarvārthāḥ prayuktatvād agnayaś ca svakālatvāt.
[3,7.40]	tatsayogāt karmaṇo vyavasthā syāt saṃyogāsyārthavatvāt.
[3,7.41]	tasyopadeśasamākhyānena nirdeśaḥ.
[3,7.42]	tadvac ca liṅgadarśam.
[3,7.43]	praiṣānuvacanaṃ maitrāvaruṇasyopadeśāt.
[3,7.44]	puro 'nuvākyādhikāro vā praiṣasannidhānāt.
[3,7.45]	prātar anuvāke ca hotṛdarśanāt.
[3,7.46]	camasāṃścamasādhvaryavaḥ sāmākhyānāt.
[3,7.47]	adhvaryurvā tannyāyatvāt.
[3,7.48]	camase cānyadarśanāt.
[3,7.49]	aśaktau te pratīyeran.
[3,7.50]	vedopadeśāt pūrvavadvedānyatve yathopadeśaṃ syuḥ.
[3,7.51]	tadguṇād vā svadharmaḥ syād adhikārasāmathyāt sahāṅgair avyaktaḥ śeṣe.

{3,8}

[3,8.1]	svāmikarmaparikrayaḥ karmaṇas tadarthatvāt.
[3,8.2]	vacanād itareṣāṃ syāt.
[3,8.3]	saṃskārās tu puruṣasāmarthye yathāvedaṃ karmavadvyavatiṣṭheran.
[3,8.4]	yājamānās tu tatpradhānatvāt karmavat.
[3,8.5]	vyapadeśāc ca.
[3,8.6]	guṇattve tasya nirdeśaḥ.
[3,8.7]	codanā prati bhāvāc ca.
[3,8.8]	atulyatvād asamānavidhānāḥ syuḥ.
[3,8.9]	tapaś ca phalasiddhitvāl lokavat.
[3,8.10]	vākyaśeṣaś ca tadvat.
[3,8.11]	vacanād itareṣāṃ syāt.
[3,8.12]	guṇatvāc ca vedena na vyavasthā syāt.
[3,8.13]	tathā kāmo 'rthasaṃyogāt.
[3,8.14]	vyapadeśād itareṣāṃ syāt.
[3,8.15]	mantrāś cākarmakaraṇās tadvat.
[3,8.16]	viprayoge ca darśanāt.
[3,8.17]	dvyāmnāteṣūbhau dvyāmnānasyārthavattvāt.
[3,8.18]	jñāte ca vācanaṃ na hy avidvān vihito 'sti.
[3,8.19]	yājamāne samākhyānāt karmāṇi yājamānaṃ syuḥ.
[3,8.20]	adhvaryur vā tadartho hi nyāyapūrve samākhyānam.
[3,8.21]	vipratiṣedhe karaṇaḥ samāvāyaviśeṣād itaram anyas teṣāṃ yato viśeṣaḥ syāt.
[3,8.22]	praiṣeṇu ca parādhikārāt.
[3,8.23]	adhvaryus tu darśanāt.
[3,8.24]	gauṇo vā karmasāmānyāt.
[3,8.25]	ṛtvik phalaṃ karaṇeṣv arthattvāt.
[3,8.26]	svāmino vā tadarthatvāt.
[3,8.27]	liṅgadarśanāc ca.
[3,8.28]	karmārtha phalaṃ teṣāṃ svāminaṃ pratyarthavattvāt.
[3,8.29]	vyapadeśāc ca.
[3,8.30]	dravyasaṃskāraḥ prakāraṇāviśeṣāt sarvakarmaṇām.
[3,8.31]	nirdeśāt tu vikṛtāv apūrvasyānadhikāraḥ.
[3,8.32]	virodhe ca śrutiviśeṣād avyaktaḥ śeṣe.
[3,8.33]	apanayas tv ekadeśasya vidyamānasaṃyogāt.
[3,8.34]	vikṛtau sarvārthaḥ śeṣaḥ prakṛtivat.
[3,8.35]	mukhyārtho vāṅgasyācoditatvāt.
[3,8.36]	sannidhānāviśeṣād asambhaved atadaṅgānām.
[3,8.37]	ādhāne 'pi tatheti cet.
[3,8.38]	nāprakaraṇatvād aṅgasyātannimittatvāt.
[3,8.39]	tatkāle vā liṅgadarśanāt.
[3,8.40]	sarveṣāṃ vāviśeṣāt.
[3,8.41]	nyāyokte liṅgadarśanam.
[3,8.42]	māṃsaṃ tu savanīyānāṃ codanāviśeṣāt.
[3,8.43]	bhaktir asannidhāvanyāyyeti cet.
[3,8.44]	syāt prakṛtiliṅgād vairājavat.

<4>

{4,1}

[4,1.1]	athātaḥ kratvarthapuruṣārthayor jijñāsā.
[4,1.2]	yasmin prītiḥ puruṣasya tasya lipsārthalakṣaṇāvibhaktatvāt.
[4,1.3]	tadutsarge karmāṇi puruṣārthāya śāstrasyānatiśaṅkyatvān na ca dravyaṃ cikīrṣyate tenārthenābhisambandhāt kriyāyāṃ puruṣaśrutiḥ.
[4,1.4]	aviśeṣāt tu śāstrasya yathāśruti phalāni syuḥ.
[4,1.5]	api vā kāraṇāgrahaṇe tadartham arthasyānabhisambandhāt.
[4,1.6]	tathā ca lokabhūteṣu.
[4,1.7]	dravyāṇi tv aviśeṣeṇānarthakyāt pradīyeran.
[4,1.8]	svena tvarthe na sambandho dravyāṇāṃ pṛthagarthatvāt tasmād yathāśruti syuḥ.
[4,1.9]	codyante cārthakarmasu.
[4,1.10]	liṅgadarśanāc ca.
[4,1.11]	tatraikatvamayajñāṅgam arthasya guṇabhūtatvāt.
[4,1.12]	ekaśrutitvāc ca.
[4,1.13]	pratīyate iti cet.
[4,1.14]	nāśabdaṃ tatpramāṇatvāt pūrvavat.
[4,1.15]	śabdavat tūpalabhyate tadāgame hi taddṛśyate tasya jñānaṃ hi yathānyeṣām.
[4,1.16]	tadvac ca liṅgadarśanam.
[4,1.17]	tathā ca liṅgam.
[4,1.18]	āśrayiṣv aviśeṣeṇa bhāvo 'rthaḥ pratīyeta.
[4,1.19]	codanāyāṃ tv anārambho 'vibhaktatvān na hy anyena vidhīyate.
[4,1.20]	syād vā dravyacikīrṣāyāṃ bhāvo 'rthe ca guṇabhūtatāśrayād dhi guṇībhāvaḥ.
[4,1.21]	arthe samavaiṣamyato dravyakarmaṇām.
[4,1.22]	ekaniṣpatteḥ sarve samaṃ syāt.
[4,1.23]	saṃsargarasaniśpatterāmikṣā vā pradhānaṃ syāt.
[4,1.24]	mukhyaśabdābhisaṃstavāc ca.
[4,1.25]	padakarmāprayojakaṃ nayanasya parārthatvāt.
[4,1.26]	arthābhidhānakarma ca bhaviṣyatā saṃyogasya tannimittatvāt tadartho hi vidhīyate.
[4,1.27]	paśāv anālambhāl lohitaśakṛtor akarmatvam.
[4,1.28]	ekadeśadravyaś cotpattau vadyamānasaṃyogāt.
[4,1.29]	nirdeśāt tasyānyad arthād iti cet.
[4,1.30]	na śeṣasannidhānāt.
[4,1.31]	karmakāryāt.
[4,1.32]	liṅgadarśanāc ca.
[4,1.33]	abhighāraṇe viprakarṣād anūyājavat pātrabhedaḥ syāt.
[4,1.34]	na vā pātratvād apātratvaṃ tv ekadeśatvāt.
[4,1.35]	hetutvāc ca sahaprayogasya.
[4,1.36]	abhāvadarśanāc ca.
[4,1.37]	sati savyavacanam.
[4,1.38]	na tasyeti cet.
[4,1.39]	syāt tasya mukhyatvāt.
[4,1.40]	samānayanaṃ tu mukhyaṃ syāl liṅgadarśanāt.
[4,1.41]	vacane hi hetvasāmarthyam.
[4,1.42]	tatrotpattir avibhaktā syāt.
[4,1.43]	tatra jauhavam anūyājapratiṣedhārtham.
[4,1.44]	aupabhṛtaṃ tatheti cet.
[4,1.45]	syāj juhūpratiṣedhān nityānuvādaḥ.
[4,1.46]	tadaṣṭasaṅkhyaṃ śravaṇāt.
[4,1.47]	anugrahāc ca jauhavasya.
[4,1.48]	dvayos tu hetusāmarthayaṃ śravaṇaṃ ca samānayane.

{4,2}

[4,2.1]	svarus tv anekaniṣpattiḥ svakarmaśabdatvāt.
[4,2.2]	jātyantarāc ca śaṅkate.
[4,2.3]	tadekadeśo vā svarutvasya tannimittatvāt.
[4,2.4]	śakalaśruteś ca.
[4,2.5]	pratiyūpaṃ ca darśanāt.
[4,2.6]	ādāne karotiśabdaḥ.
[4,2.7]	śākhāyāṃ tatpradhānatvāt.
[4,2.8]	śākhāyāṃ tatpradhānatvād upaveṣeṇa vibhāgaḥ syād vaiṣamyaṃ tat.
[4,2.9]	śrutyapāyāc ca.
[4,2.10]	haraṇe tu juhotir yogasāmānyād dravyāṇāṃ cārthaśeṣatvāt.
[4,2.11]	pratipattir vā śabdasya tatpradhānatvāt.
[4,2.12]	arthe 'pi cet.
[4,2.13]	na tasyānadhikārād arthasya ca kṛtatvāt.
[4,2.14]	utpattyasaṃyogāt praṇītānām ājyavad vibhāgaḥ syāt.
[4,2.15]	saṃyavanārthānāṃ vā pratipattir itarāsāṃ tatpradhānatvāt.
[4,2.16]	prāsanavan maitrāvaruṇasya daṇḍapradānaṃ kṛtārthatvāt.
[4,2.17]	arthakarma vā kartṛsaṃyogāt sragvat.
[4,2.18]	karmayukte ca darśanāt.
[4,2.19]	utpattau yena saṃyuktaṃ tadarthaṃ tacchrutihetutvāt tasyārthāntaragamane śeṣatvāt pratipattiḥ syāt.
[4,2.20]	saumike ca kṛtārthatvāt.
[4,2.21]	arthakarma vābhidhānasaṃyogāt.
[4,2.22]	pratipattir vā tannyāyatvād deśārthāvabhṛthaśrutiḥ.
[4,2.23]	kartṛdeśakālānām acodanaṃ prayoge nityasamavāyāt.
[4,2.24]	niyamārthā vā śrutiḥ.
[4,2.25]	tathā dravyeṣu guṇaśrutir utpattisaṃyogāt.
[4,2.26]	saṃskāre ca tatpradhānatvāt.
[4,2.27]	yajati codanādravyadevatākriyaṃ samudāye kṛtārthatvāt.
[4,2.28]	tadukte śravaṇāj juhotir āsecanādhikaḥ syāt.
[4,2.29]	vidheḥ karmāpavargitvād arthāntare vidhipradeśaḥ syāt.
[4,2.30]	api votpattisaṃyogād arthasambandho 'viśiṣṭānāṃ prayogaikatvahetuḥ syāt.

{4,3}

[4,3.1]	dravyasaṃskārakarmasu parārthatvāt phalaśrutir arthavādaḥ syāt.
[4,3.2]	utpatteś cātatpradhānatvāt.
[4,3.3]	phalaṃ tu tatpradhānāyām.
[4,3.4]	naimittike vikāratvāt kratupradhānam anyat syāt.
[4,3.5]	ekasya tūbhayatve saṃyogapṛthaktvam.
[4,3.6]	śeṣa iti cet.
[4,3.7]	nārthapṛthaktvāt.
[4,3.8]	dravyāṇāntu kriyārthānāṃ saṃskāraḥ kratudharmasyāt.
[4,3.9]	pṛthaktvādvyavatiṣṭheta.
[4,3.10]	codanāyāṃ phalāśruteḥ karmamātraṃ vidhīyeta na hy aśabdaṃ pratīyate.
[4,3.11]	api vāmnānasāmatharthyāc codanārthena gamyetārthānāṃ hy arthatvena vacanāni pratīyante 'rthatopy asamarthānām ānantarye 'py asambandhas tasmāc chrutyekadeśaḥ saḥ.
[4,3.12]	vākyārthaś ca guṇārthavat.
[4,3.13]	tatsarvārtham anādeśāt.
[4,3.14]	ekaṃ vā codanaikatvāt.
[4,3.15]	sa svargaḥ syāt sarvān pratyaviśiṣṭatvāt.
[4,3.16]	pratyayāc ca.
[4,3.17]	kratau phalārthavādamaṅgavat kārṣṇājiniḥ.
[4,3.18]	phalamātreyo nirdeśād aśrutau hy anumānaṃ syāt.
[4,3.19]	aṅgeṣu stutiḥ parārthatvāt.
[4,3.20]	kāmye karmaṇi nityaḥ svarge yathā yajñāṅge kratvarthaḥ.
[4,3.21]	vīte ca kāraṇe niyamāt.
[4,3.22]	kāmo vā tatsaṃyogena codyate.
[4,3.23]	aṅgeṣu stutiḥ parārthatvāt.
[4,3.24]	vīte ca niyamas tadartham.
[4,3.25]	sarvakāmyam aṅgakāmaiḥ prakaraṇāt.
[4,3.26]	phalopadeśo vā pradhānaśabdasaṃyogāt.
[4,3.27]	tatra sarve 'viśeṣāt.
[4,3.28]	yogasiddhir vārthasyotpatyasaṃyogitvāt.
[4,3.29]	samavāye codanāsaṃyogasyārthavatvāt.
[4,3.30]	kālaśrutau kāla iti cet.
[4,3.31]	nāsamavāyātprayojanena.
[4,3.32]	ubhayārthām iti cet.
[4,3.33]	na śabdaikatvāt.
[4,3.34]	prakaraṇād iti cet.
[4,3.35]	notpattisaṃyogāt.
[4,3.36]	anutpattau tu kālaḥ syāt prayojanena sambandhāt.
[4,3.37]	utapattikālaviśaye kālaḥ syād vākyasya tatpradhānatvāt.
[4,3.38]	phalasaṃyogas tv acodite na syād aśeṣabhūtatvāt.
[4,3.39]	aṅgānāṃ tūpaghātasaṃyogo nimittārthaḥ.
[4,3.40]	pradhānenābhisaṃyogād aṅgānāṃ mukhyakālatvam.
[4,3.41]	apavṛtte tu codanā tatsāmānyāt svakāle syāt.

{4,4}

[4,4.1]	prakaraṇāvibhāge ca vipratiṣiddhaṃ hy ubhayam.
[4,4.2]	api vāṅgamanijyāḥ syus tato viśiṣṭatvāt.
[4,4.3]	madhyasthaṃ yasya tanmadhye.
[4,4.4]	sarvāsāṃ vā samatvāc codanātaḥ syān na hi tasya prakaraṇaṃ deśārtham ucyate madhye.
[4,4.5]	prakaraṇāvibhāge ca vipratiṣiddhaṃ hy ubhayam.
[4,4.6]	api vā kālamātraṃ syād adarśanād viśeśasya.
[4,4.7]	phalavad voktahetutvād itarasya pradhānaṃ syāt.
[4,4.8]	dadhigraho naimittikaḥ śrutisaṃyogāt.
[4,4.9]	nityaś ca jyeṣṭhaśabdāt.
[4,4.10]	sārvarūpyāc ca.
[4,4.11]	nityo vā syād arthavādastayoḥ karmaṇy asambandhād bhaṅgitvāc cāntarāyasya.
[4,4.12]	vaiśvānaraś ca nityaḥ syān nityaiḥ samānasaṅkhyatvāt.
[4,4.13]	pakṣe votpannasaṃyogāt.
[4,4.14]	ṣaṭcitiḥ pūrvavattvāt.
[4,4.15]	tābhiś ca tulyasaṃkhyānāt.
[4,4.16]	arthavādopapatteś ca.
[4,4.17]	ekacitir vā syād apavṛkte hi codyate nimittena.
[4,4.18]	vipratiṣedhāt tābhiḥ samānasaṅkhyatvam.
[4,4.19]	pitṛyajñaḥ svakālatvād anaṅgaṃ syāt.
[4,4.20]	tulyavac ca prasaṅkhyānāt.
[4,4.21]	pratiṣiddhe ca darśanāt.
[4,4.22]	paśvaṅga raśamā syāt tadāgame vidhānāt.
[4,4.23]	yūpāṅgaṃ vā tatsaṃskārāt.
[4,4.24]	arthavādaś ca tadarthavat.
[4,4.25]	svaruścāpy ekadeśatvāt.
[4,4.26]	niṣkrayaś ca tadaṅgavat.
[4,4.27]	paśvaṅgaṃ vārthakarmatvāt.
[4,4.28]	bhaktyā niṣkrayavādaḥ syāt.
[4,4.29]	darśapūrṇamāsayor ijyāḥ pradhānāny aviśeṣāt.
[4,4.30]	api vāṅgāni kāni cidyeśvaṅgatvena saṃstutiḥ sāmānyo hy abhisaṃstavaḥ.
[4,4.31]	tathā cānyārthadarśanam.
[4,4.32]	avaśiṣṭaṃ tu kāraṇaṃ pradhāneṣu guṇasya vidyamānatvāt.
[4,4.33]	nānukte 'nyārthadarśanaṃ parārthatvāt.
[4,4.34]	pṛthavatve tv abhidhānayor niveśaḥ śrutito vyapadeśāc ca tatpunarmukhyalakṣaṇaṃ yatphalavatvaṃ tatsannidhāv asaṃyuktaṃ tadaṅgaṃsyādbhāgitvāt kāraṇasyāśrutaś cānyasambandhaḥ.
[4,4.35]	guṇāś ca nāmasaṃyuktā vidhīyante nāṅgeṣūṣapadyante.
[4,4.36]	tulyā ca kāraṇaśrutir anyair aṅgāṅgisambandhaḥ.
[4,4.37]	utpattāv abhisambandhas tasmād aṅgopadeśaḥ syāt.
[4,4.38]	tathā cānyārthadarśanam.
[4,4.39]	jyotiṣṭome tulyāny aviśiṣṭaṃ hi kāraṇam.
[4,4.40]	guṇānāṃ tūtpattivākyena sambandhāt kāraṇaśrutis tasmāt somaḥ pradhānaṃ syāt.
[4,4.41]	tathā cānyārthadarśanam.

<5>

{5,1}

[5,1.1]	śrutilakṣaṇam ānupūrvyaṃ tatpramāṇatvāt.
[5,1.2]	arthāc ca.
[5,1.3]	aniyamo 'nyatra.
[5,1.4]	krameṇa vā niyamyeta kratvekatve tadguṇatvāt.
[5,1.5]	aśābda iti cet syād vākyaśabdatvāt.
[5,1.6]	arthakṛte vānumānaṃ syāt kratvekatve parārthatvāt svena tv arthena sambandhas tasmāt svaśabdam ucyeta.
[5,1.7]	tathā cānyārthadarśanam.
[5,1.8]	pravṛtyā tulyakālānāṃ guṇānāṃ tadupakramāt.
[5,1.9]	sarvam iti cet.
[5,1.10]	nākṛtatvāt.
[5,1.11]	kratvantaravad iti cet.
[5,1.12]	nāsamavāyāt.
[5,1.13]	sthānāc cotpattisaṃyogāt.
[5,1.14]	mukhyakrameṇa vāṅgānāṃ tadarthatvāt.
[5,1.15]	prakṛtau tu svaśabdatvādyākramaṃ pratīyeta.
[5,1.16]	mantratas tu virodhe syāt prayogarūpasāmarthyāt tasmād utpattideśaḥ saḥ.
[5,1.17]	tadvacanād vikṛtau yathā pradhānaṃ syāt.
[5,1.18]	vipratipattau vā prakṛtyanvayād yathāprakṛti.
[5,1.19]	vikṛtiḥ prakṛtidharmatvāt tatkālā syād yathā śiṣṭam.
[5,1.20]	api vā kramakālasaṃyuktā sadyaḥ kriyeta tatra vidher anumānāt prakṛtidharmalopaḥ syāt.
[5,1.21]	kālotkarṣa iti cet.
